332.0,39.0,40.0,40.0
335.0,31.0,35.0,43.0
335.0,22.0,32.0,47.0
335.0,15.0,34.0,51.0
333.0,12.0,39.0,51.0
337.0,13.0,40.0,53.0
345.0,19.0,40.0,48.0
351.0,30.0,38.0,44.0
355.0,36.0,40.0,44.0
359.0,46.0,39.0,40.0
363.0,51.0,40.0,45.0
367.0,57.0,39.0,45.0
359.0,62.0,41.0,40.0
361.0,54.0,36.0,46.0
350.0,50.0,41.0,44.0
341.0,41.0,42.0,49.0
332.0,32.0,43.0,47.0
327.0,25.0,44.0,46.0
324.0,22.0,37.0,42.0
319.0,22.0,39.0,35.0
320.0,22.0,38.0,38.0
319.0,15.0,39.0,47.0
320.0,19.0,41.0,50.0
322.0,26.0,41.0,45.0
325.0,29.0,42.0,46.0
328.0,31.0,49.0,48.0
328.0,30.0,51.0,54.0
332.0,26.0,48.0,53.0
335.0,21.0,50.0,51.0
342.0,17.0,43.0,52.0
348.0,16.0,42.0,51.0
352.0,20.0,46.0,52.0
365.0,29.0,42.0,49.0
376.0,42.0,44.0,48.0
385.0,58.0,39.0,48.0
392.0,79.0,42.0,45.0
393.0,96.0,41.0,27.0
399.0,106.0,23.0,22.0
398.0,109.0,38.0,30.0
393.0,110.0,41.0,28.0
392.0,113.0,47.0,39.0
387.0,113.0,50.0,44.0
387.0,108.0,52.0,49.0
378.0,91.0,54.0,56.0
371.0,71.0,51.0,55.0
359.0,47.0,54.0,60.0
346.0,27.0,47.0,61.0
333.0,12.0,45.0,63.0
315.0,11.0,47.0,61.0
297.0,12.0,51.0,59.0
293.0,15.0,52.0,58.0
297.0,19.0,47.0,53.0
299.0,25.0,48.0,53.0
304.0,26.0,49.0,54.0
302.0,27.0,52.0,52.0
299.0,22.0,55.0,57.0
299.0,16.0,52.0,61.0
296.0,10.0,53.0,65.0
293.0,9.0,53.0,60.0
289.0,7.0,53.0,64.0
292.0,6.0,50.0,69.0
298.0,7.0,49.0,70.0
308.0,4.0,52.0,67.0
320.0,1.0,55.0,62.0
324.0,1.0,60.0,62.0
323.0,1.0,59.0,65.0
321.0,4.0,56.0,67.0
318.0,8.0,58.0,67.0
318.0,7.0,62.0,72.0
316.0,1.0,63.0,72.0
312.0,1.0,65.0,69.0
307.0,1.0,71.0,68.0
303.0,1.0,72.0,66.0
296.0,1.0,71.0,69.0
281.0,1.0,73.0,84.0
272.0,25.0,72.0,88.0
279.0,56.0,82.0,101.0
300.0,96.0,80.0,105.0
317.0,138.0,84.0,99.0
328.0,157.0,81.0,90.0
330.0,165.0,83.0,88.0
318.0,166.0,74.0,78.0
307.0,165.0,85.0,81.0
296.0,155.0,81.0,84.0
284.0,140.0,80.0,89.0
264.0,121.0,82.0,88.0
245.0,98.0,84.0,90.0
231.0,77.0,86.0,94.0
220.0,51.0,89.0,103.0
209.0,19.0,91.0,117.0
191.0,1.0,97.0,121.0
176.0,1.0,97.0,111.0
157.0,1.0,92.0,111.0
139.0,1.0,98.0,117.0
134.0,2.0,102.0,123.0
139.0,15.0,102.0,121.0
143.0,20.0,99.0,124.0
142.0,25.0,110.0,128.0
144.0,20.0,117.0,143.0
152.0,11.0,117.0,143.0
